2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | INFO | 🧩 Logger initialized for PREPROCESSING → /Users/kousiknandury/PycharmProjects/DL_project/logs/extraction_logs/preprocessing_20251028_155541.log
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | INFO | 📄 Extracting text from PDF: 1. Introduction.pdf
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | INFO | Detected 6 pages in 1. Introduction.pdf
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 1/6 processed (native text extraction) in 0.07s
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 2/6 processed (native text extraction) in 0.02s
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 3/6 processed (native text extraction) in 0.02s
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 4/6 processed (native text extraction) in 0.01s
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 5/6 processed (native text extraction) in 0.03s
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | DEBUG | Page 6/6 processed (native text extraction) in 0.01s
2025-10-28 15:55:41 | scripts.extraction_pipeline.extractor_core | INFO | ✅ Extraction complete for 1. Introduction.pdf | Pages: 6 | Time: 0.17s
